dataset,stage_1,stage_2,region,band,n_stage1,n_stage2,wmean_1,wmean_2,U,p_mwu,p_perm,sig_mwu,sig_perm,r,eta2,effet
av-1,NREM I,NREM II,dHPC,low,263,246,0.14747074593764864,0.12371753126769831,39108.0,4.5860932664526574e-05,0.0,***,***,-0.20893999814522868,0.04365592282492816,petit
av-1,NREM I,NREM II,dHPC,theta,263,246,0.14947876060412352,0.14162916780221327,34291.0,0.2416631492723028,0.0326,ns,*,-0.06003276762805654,0.003603933189084233,négligeable
av-1,NREM I,NREM II,dHPC,beta,263,246,0.3294036554241919,0.33560544532278413,31223.0,0.497300474993954,0.0413,ns,*,0.03480787659587625,0.0012115882731137497,négligeable
av-1,NREM I,NREM II,dHPC,high,263,246,0.7724529392223012,0.8446448236924203,25196.0,1.607755923450698e-05,0.0003,***,***,0.22111966366811953,0.0488939056607023,petit
av-1,NREM I,NREM II,vHPC,low,263,246,0.1455553798289314,0.12246749670795427,42128.0,3.701327301205249e-09,0.0,***,***,-0.3022968252496214,0.09138337055600015,moyen
av-1,NREM I,NREM II,vHPC,theta,263,246,0.13164081295045962,0.11416849981713069,41431.0,4.333697694854505e-08,0.0,***,***,-0.28075056415963395,0.07882087927595274,moyen
av-1,NREM I,NREM II,vHPC,beta,263,246,0.3357435345370291,0.3634092029148524,23441.0,7.797538658130761e-08,0.0,***,***,0.2753717271013014,0.07582958808675362,moyen
av-1,NREM I,NREM II,vHPC,high,263,246,0.8717623487904945,0.9118506888561654,26378.0,0.00031752487122508667,0.0006,***,***,0.18458066709944665,0.03407002266687675,petit
av-1,NREM I,NREM II,BLA,low,263,246,0.21918906693479467,0.17141788341780215,38864.0,8.54309493826542e-05,0.0,***,***,-0.20139726112090028,0.040560856787000096,petit
av-1,NREM I,NREM II,BLA,theta,263,246,0.15271760190188335,0.12668284579390535,40568.0,7.186900413268644e-07,0.0,***,***,-0.25407276886457075,0.0645529718785096,moyen
