dataset_A,dataset_B,stage,region,band,n_A,n_B,U,p_mwu,p_perm,sig_mwu,sig_perm,r,eta2,effet
rw-1,rw-2,NREM I,dHPC,low,8,184,1240.0,0.000479044856378273,0.4756,***,ns,-0.6847826086956521,0.46892722117202257,grand
rw-1,rw-2,NREM I,dHPC,theta,8,184,1112.0,0.012653100233989422,0.2371,*,ns,-0.5108695652173914,0.2609877126654065,grand
rw-1,rw-2,NREM I,dHPC,beta,8,184,710.0,0.870820830049079,0.7814,ns,ns,0.03532608695652173,0.0012479324196597347,négligeable
rw-1,rw-2,NREM I,dHPC,high,8,184,243.0,0.000675904513389883,0.1996,***,ns,0.6698369565217391,0.4486815483223062,grand
rw-1,rw-2,NREM I,vHPC,low,8,184,888.0,0.3312105985904905,0.4938,ns,ns,-0.2065217391304348,0.04265122873345937,petit
rw-1,rw-2,NREM I,vHPC,theta,8,184,1309.0,3.6137900455559634e-05,0.1443,***,ns,-0.7785326086956521,0.6061130228024574,grand
rw-1,rw-2,NREM I,vHPC,beta,8,184,356.0,0.011652829631950924,0.353,*,ns,0.5163043478260869,0.26657017958412094,grand
rw-1,rw-2,NREM I,vHPC,high,8,184,492.0,0.11475594955762895,0.5863,ns,ns,0.3315217391304348,0.10990666351606808,moyen
rw-1,rw-2,NREM I,BLA,low,8,184,1364.0,1.9812345392077147e-06,0.1339,***,ns,-0.8532608695652173,0.7280541115311907,grand
rw-1,rw-2,NREM I,BLA,theta,8,184,1293.0,7.119878877159188e-05,0.1923,***,ns,-0.7567934782608696,0.5727363687381853,grand
rw-1,rw-2,NREM I,BLA,beta,8,184,144.0,1.486638237329532e-05,0.1634,***,ns,0.8043478260869565,0.6469754253308129,grand
rw-1,rw-2,NREM I,BLA,high,8,184,261.0,0.001151444677306195,0.2906,**,ns,0.6453804347826086,0.416515905600189,grand
rw-1,rw-2,NREM II,dHPC,low,5,202,875.0,0.002746751306376857,0.4047,**,ns,-0.7326732673267327,0.5368101166552298,grand
rw-1,rw-2,NREM II,dHPC,theta,5,202,727.0,0.09493987825612923,0.3388,ns,ns,-0.43960396039603955,0.1932516419958827,grand
rw-1,rw-2,NREM II,dHPC,beta,5,202,409.0,0.4818368589282232,0.6522,ns,ns,0.19009900990099005,0.03613763356533671,petit
rw-1,rw-2,NREM II,dHPC,high,5,202,179.0,0.01051378946404355,0.246,*,ns,0.6455445544554456,0.4167277717870797,grand
rw-1,rw-2,NREM II,vHPC,low,5,202,775.0,0.03896006044805584,0.52,*,ns,-0.5346534653465347,0.2858543280070582,grand
rw-1,rw-2,NREM II,vHPC,theta,5,202,861.0,0.004383354063878679,0.2759,**,ns,-0.7049504950495049,0.49695520047054204,grand
rw-1,rw-2,NREM II,vHPC,beta,5,202,168.0,0.007763184315427199,0.2662,**,ns,0.6673267326732673,0.4453249681403783,grand
rw-1,rw-2,NREM II,vHPC,high,5,202,236.0,0.03976646218559625,0.347,*,ns,0.5326732673267327,0.28374080972453686,grand
rw-1,rw-2,NREM II,BLA,low,5,202,959.0,3.247423953501944e-05,0.0726,***,ns,-0.8990099009900989,0.8082188020782275,grand
rw-1,rw-2,NREM II,BLA,theta,5,202,901.0,0.0010059535958855943,0.2117,**,ns,-0.7841584158415842,0.6149044211351828,grand
rw-1,rw-2,NREM II,BLA,beta,5,202,84.0,0.0003017671841323005,0.1204,***,ns,0.8336633663366336,0.6949946083717282,grand
rw-1,rw-2,NREM II,BLA,high,5,202,134.0,0.002651960577052856,0.2099,**,ns,0.7346534653465346,0.539715714145672,grand
rw-1,rw-2,REM I,dHPC,low,8,178,1052.0,0.020619421223319213,0.1701,*,ns,-0.4775280898876404,0.22803307663173836,grand
rw-1,rw-2,REM I,dHPC,theta,8,178,436.0,0.06365332562786466,0.2245,ns,ns,0.3876404494382022,0.1502651180406514,grand
rw-1,rw-2,REM I,dHPC,beta,8,178,772.0,0.6948907451533457,0.9233,ns,ns,-0.08426966292134841,0.0071013760888776825,négligeable
rw-1,rw-2,REM I,dHPC,high,8,178,868.0,0.30258297767662184,0.9031,ns,ns,-0.2191011235955056,0.04800530236081302,petit
rw-1,rw-2,REM I,vHPC,low,8,178,810.0,0.5197268340865743,0.8944,ns,ns,-0.1376404494382022,0.018944893321550294,petit
rw-1,rw-2,REM I,vHPC,theta,8,178,938.0,0.1319350789660549,0.227,ns,ns,-0.3174157303370786,0.10075274586542099,moyen
rw-1,rw-2,REM I,vHPC,beta,8,178,317.0,0.006351703702707318,0.2061,**,ns,0.5547752808988764,0.3077756122964272,grand
rw-1,rw-2,REM I,vHPC,high,8,178,1155.0,0.0018672064983952159,0.1034,**,ns,-0.622191011235955,0.38712165446282026,grand
rw-1,rw-2,REM I,BLA,low,8,178,986.0,0.06569370468699491,0.1772,ns,ns,-0.3848314606741574,0.14809525312460556,grand
rw-1,rw-2,REM I,BLA,theta,8,178,740.0,0.8562531117278097,0.7527,ns,ns,-0.0393258426966292,0.001546521903800024,négligeable
rw-1,rw-2,REM I,BLA,beta,8,178,395.0,0.0317771417337703,0.2151,*,ns,0.4452247191011236,0.19822505049867442,grand
rw-1,rw-2,REM I,BLA,high,8,178,1151.0,0.0020846864589782006,0.3462,**,ns,-0.6165730337078652,0.38016230589572025,grand
rw-1,rw-2,REM II,dHPC,low,5,193,669.0,0.14532159045215715,0.3788,ns,ns,-0.3865284974093264,0.14940427930951164,grand
rw-1,rw-2,REM II,dHPC,theta,5,193,311.0,0.18217629768656576,0.3379,ns,ns,0.355440414507772,0.12633788826545675,moyen
rw-1,rw-2,REM II,dHPC,beta,5,193,570.0,0.502946154950072,0.6115,ns,ns,-0.18134715025906734,0.03288678890708475,petit
rw-1,rw-2,REM II,dHPC,high,5,193,533.0,0.7011909341925859,0.9805,ns,ns,-0.10466321243523313,0.010954388037262739,petit
rw-1,rw-2,REM II,vHPC,low,5,193,705.0,0.07906433854565999,0.3151,ns,ns,-0.4611398963730571,0.21265000402695383,grand
rw-1,rw-2,REM II,vHPC,theta,5,193,719.0,0.06069303059502143,0.2259,ns,ns,-0.49015544041450787,0.24025235576794018,grand
rw-1,rw-2,REM II,vHPC,beta,5,193,181.0,0.013879259268492466,0.0722,*,ns,0.6248704663212435,0.39046309968052834,grand
rw-1,rw-2,REM II,vHPC,high,5,193,687.0,0.10851070885609582,0.2184,ns,ns,-0.4238341968911916,0.1796354264544014,grand
rw-1,rw-2,REM II,BLA,low,5,193,694.0,0.09623052732881307,0.132,ns,ns,-0.438341968911917,0.19214368170957602,grand
rw-1,rw-2,REM II,BLA,theta,5,193,517.0,0.7943383515552198,0.8105,ns,ns,-0.07150259067357512,0.005112620473032832,négligeable
rw-1,rw-2,REM II,BLA,beta,5,193,244.0,0.05836321408639614,0.0819,ns,ns,0.494300518134715,0.2443330022282477,grand
rw-1,rw-2,REM II,BLA,high,5,193,678.0,0.12594466114497807,0.5723,ns,ns,-0.405181347150259,0.1641719240784987,grand
